"X","fov","volume","center_x","center_y"
21737,1867,1149.39782423853,10778.7226407857,9000.01805986938
21738,1867,451.845640666368,10691.8119362171,8996.45402296506
21740,1867,558.754481534248,10702.2071043778,9000.14460569515
21750,1867,411.063568542542,10660.1129948019,9010.26214901909
21751,1867,992.000306026447,10737.2145115544,9014.90462696768
21752,1867,861.520602610245,10731.3719760295,9014.49742097214
21754,1867,482.386209282376,10645.6564627362,9013.83703660258
21756,1867,461.962103381514,10683.7404922097,9014.13482570626
21763,1867,1007.37812399892,10712.2090961606,9021.68615435514
21764,1867,358.935346465329,10786.9663763403,9020.68148056312
21765,1867,578.912666086044,10759.9789586766,9022.01087063021
21766,1867,1748.1924693422,10653.2497160141,9027.7938989102
21769,1867,282.385198121597,10701.0936975894,9024.10290114334
21773,1867,983.63018501506,10702.0787021205,9030.24858317019
21776,1867,601.351909776577,10668.3384566973,9033.99258663062
21781,1867,589.318185807587,10726.5053087191,9037.58379229813
21782,1867,288.975634491244,10710.4077990268,9037.40973847712
21785,1867,568.737533110255,10720.2851205572,9039.42103240328
21789,1867,278.24529871053,10733.9486835933,9040.13479468193
21793,1867,700.025513522085,10726.0485863059,9046.32951498338
21794,1867,539.62007273182,10694.634740975,9048.09754616696
22054,1867,943.940518631579,10652.4469117539,9003.31321023503
22056,1867,468.006173933344,10647.7875127913,9009.66194552222
22058,1867,304.192262425274,10677.0022207923,9015.8187511395
22059,1867,426.894901787185,10703.5597290016,9016.02952556346
22060,1867,414.578466361318,10643.2590367229,9021.18635644095
22061,1867,360.499305951901,10787.1515873465,9027.4001543944
22065,1867,671.647848643882,10604.0817723065,9036.39526380167
22067,1867,475.251873575674,10677.5470635472,9041.6843651613
22069,1867,993.731412110641,10609.3876130964,9047.8056284891
22071,1867,484.940118058283,10685.2981572749,9051.64956358245
2584,1867,675.661338293296,10706.1663000571,9003.05558914232
2593,1867,1463.50751703328,10716.6901815654,9012.0193291455
2597,1867,847.681217039066,10666.5265967994,9012.92785334478
2598,1867,680.578048776815,10698.5843521428,9012.35611988045
2602,1867,646.467107186179,10655.5805279636,9015.79183255395
2609,1867,671.967635367645,10684.1035319671,9024.89385556464
2616,1867,705.170589062817,10671.2529873894,9040.14787033838
2618,1867,839.911428788394,10687.4475471925,9042.14320657024
2619,1867,747.96558904125,10703.8798312082,9042.08838321431
2620,1867,544.424034446036,10785.0770310619,9041.94981411978
2627,1867,505.21113748367,10704.8847395858,9048.77412615067
2628,1867,710.346916952328,10716.0288853734,9048.75912272777
2632,1867,575.420075226531,10620.3071439922,9049.90692864291
2634,1867,473.782339092544,10785.7606915281,9050.33598984011
2639,1867,1369.68190286063,10701.6736873511,9055.27481938339
2640,1867,209.968838112556,10732.0193019886,9053.38951692865
2641,1867,1319.92988112157,10599.9191743648,9060.43925160059
2643,1867,122.277910105603,10723.8112320507,9055.93569627838
2645,1867,1074.56664282884,10621.2234281058,9061.20792476764
2647,1867,500.777585168138,10737.3781043958,9062.4451643044
2651,1867,691.212995354212,10625.5194062913,9066.4057049685
2652,1867,141.769480656341,10758.5246105119,9062.92323958462
2653,1867,419.182870711286,10781.7257010809,9064.57086857751
2659,1867,400.943551636744,10766.9554295552,9069.92044116278
2662,1867,523.683364688192,10751.6212984217,9072.01192201947
2665,1867,1258.69482733316,10609.7919543856,9075.60565927092
2667,1867,996.899432894286,10647.2817649375,9078.13270173169
2677,1867,1347.58952493898,10623.9079225307,9083.68776482488
2679,1867,650.921288663597,10686.3740094944,9083.87553986109
2680,1867,979.294390729915,10650.670252916,9085.4690725954
2681,1867,638.668194018812,10695.1282150944,9085.45555852059
2683,1867,596.133926136032,10601.4202430068,9085.93984455672
2685,1867,723.214632265675,10658.9053364204,9087.36780850437
2690,1867,465.768598354649,10682.4962192264,9087.54669615925
2694,1867,676.693934623003,10635.7845998948,9090.28655572044
2696,1867,979.543007011815,10648.6400749397,9093.01638112224
2701,1867,246.497357309121,10687.6615281489,9092.697420391
2705,1867,697.233003485107,10662.7159536771,9097.55789551586
2706,1867,197.803627827444,10688.4932096561,9096.3115197161
2707,1867,267.154664619892,10695.5104706383,9097.39979890316
2709,1867,400.749813492952,10706.2140131508,9099.88780220332
2710,1867,890.260119777216,10683.2011296355,9100.64448293507
2711,1867,555.069248686581,10775.3702324911,9103.37125269205
2712,1867,297.823605551634,10671.5907108889,9100.86405240198
